timestamp,signal_type
2025-07-28 02:53:00,buy
2025-07-28 05:07:00,sell
2025-07-28 05:32:00,buy
2025-07-28 05:40:00,sell
2025-07-28 05:47:00,buy
2025-07-28 06:25:00,sell
2025-07-28 07:02:00,buy
2025-07-28 07:13:00,sell
2025-07-28 07:16:00,buy
2025-07-28 07:31:00,sell
2025-07-28 09:09:00,buy
2025-07-28 09:37:00,sell
2025-07-28 09:49:00,buy
2025-07-28 09:51:00,sell
2025-07-28 09:53:00,buy
2025-07-28 10:04:00,sell
2025-07-28 10:14:00,buy
2025-07-28 10:16:00,sell
2025-07-28 10:21:00,buy
2025-07-28 10:22:00,sell
2025-07-28 10:26:00,buy
2025-07-28 10:31:00,sell
2025-07-28 10:43:00,buy
2025-07-28 10:45:00,sell
2025-07-28 10:48:00,buy
2025-07-28 10:54:00,sell
2025-07-28 11:46:00,buy
2025-07-28 12:02:00,sell
2025-07-28 12:04:00,buy
2025-07-28 12:10:00,sell
2025-07-28 15:27:00,buy
2025-07-28 16:48:00,sell
2025-07-28 18:18:00,buy
2025-07-28 23:31:00,sell
2025-07-29 00:03:00,buy
2025-07-29 00:08:00,sell
2025-07-29 01:18:00,buy
2025-07-29 03:10:00,sell
2025-07-29 04:47:00,buy
2025-07-29 07:00:00,sell
2025-07-29 07:59:00,buy
2025-07-29 09:22:00,sell
2025-07-29 09:28:00,buy
2025-07-29 10:07:00,sell
2025-07-29 10:18:00,buy
2025-07-29 10:22:00,sell
2025-07-29 10:29:00,buy
2025-07-29 10:49:00,sell
2025-07-29 12:23:00,buy
2025-07-29 12:41:00,sell
2025-07-29 12:46:00,buy
2025-07-29 13:31:00,sell
2025-07-29 14:22:00,buy
2025-07-29 15:45:00,sell
2025-07-29 17:05:03,buy
2025-07-29 18:52:00,sell
2025-07-29 19:26:00,buy
2025-07-29 23:36:00,sell
2025-07-29 23:54:00,buy
2025-07-29 23:56:00,sell
2025-07-29 23:58:00,buy
2025-07-30 01:05:00,sell
2025-07-30 01:08:00,buy
2025-07-30 01:31:00,sell
2025-07-30 02:12:03,buy
2025-07-30 02:40:00,sell
2025-07-30 02:55:00,buy
2025-07-30 03:07:00,sell
2025-07-30 03:25:00,buy
2025-07-30 03:35:00,sell
2025-07-30 03:48:00,buy
2025-07-30 03:53:00,sell
2025-07-30 03:54:00,buy
2025-07-30 04:02:00,sell
2025-07-30 04:19:01,buy
2025-07-30 04:43:00,sell
2025-07-30 05:17:00,buy
2025-07-30 05:30:01,sell
2025-07-30 06:54:02,buy
2025-07-30 09:35:00,sell
2025-07-30 09:51:00,buy
2025-07-30 10:01:00,sell
2025-07-30 10:04:00,buy
2025-07-30 10:10:00,sell
2025-07-30 11:25:00,buy
2025-07-30 11:33:00,sell
2025-07-30 11:55:00,buy
2025-07-30 12:12:02,sell
2025-07-30 12:23:00,buy
2025-07-30 12:26:00,sell
2025-07-30 12:27:00,buy
2025-07-30 12:31:00,sell
2025-07-30 16:49:00,buy
2025-07-30 18:25:00,sell
2025-07-30 23:31:06,buy
2025-07-31 04:09:00,sell
2025-07-31 04:17:05,buy
2025-07-31 04:27:00,sell
2025-07-31 04:32:00,buy
2025-07-31 05:30:02,sell
2025-07-31 05:49:00,buy
2025-07-31 06:59:00,sell
2025-07-31 07:09:00,buy
2025-07-31 07:37:00,sell
2025-07-31 07:39:00,buy
2025-07-31 09:30:00,sell
2025-07-31 11:32:05,buy
2025-07-31 13:05:00,sell
2025-07-31 13:14:00,buy
2025-07-31 13:37:00,sell
2025-07-31 16:41:01,buy
2025-07-31 17:48:01,sell
2025-07-31 18:22:00,buy
2025-07-31 18:34:00,sell
2025-07-31 18:38:00,buy
2025-07-31 18:50:00,sell
2025-07-31 18:52:00,buy
2025-07-31 18:55:00,sell
2025-07-31 18:59:00,buy
2025-07-31 19:15:04,sell
2025-07-31 23:34:00,sell
2025-08-01 00:42:00,buy
2025-08-01 01:25:00,sell
2025-08-01 01:31:00,buy
2025-08-01 01:32:00,sell
2025-08-01 02:13:00,buy
2025-08-01 02:41:00,sell
2025-08-01 02:45:00,buy
2025-08-01 02:47:00,sell
2025-08-01 02:51:00,buy
2025-08-01 04:11:02,sell
2025-08-01 04:19:00,buy
2025-08-01 04:46:00,sell
2025-08-01 05:01:00,buy
2025-08-01 05:16:00,sell
2025-08-01 05:24:00,buy
2025-08-01 06:28:00,sell
2025-08-01 08:46:00,buy
2025-08-01 14:52:00,sell
2025-08-01 15:08:00,buy
2025-08-01 16:05:00,sell
2025-08-01 16:57:00,buy
